u,v,W,f_demand,f_topo,f_redundancy,edge_type,travel_time,length,num_lanes,speed
88454535,88454537,0.10215986729158834,0.0012832973362131028,0.005060728744939271,0.5,highway.residential,2.2289416846652266,30.96,2,13.89
88454535,88478458,0.1,0.0,0.0,0.5,highway.residential,18.517638588912885,261.24,2,13.89
88454537,88462898,0.15707691973650806,0.03065181518151815,0.13917004048582995,0.5,highway.tertiary,9.378487848784879,211.58,2,22.22
88454537,88462916,0.1539636332054258,0.028979897989798976,0.13157894736842105,0.5,highway.tertiary,5.279027902790279,117.3,2,22.22
88454914,88472070,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,4.586033117350612,64.16,2,13.89
88455443,88455439,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,9.630669546436286,133.77,2,13.89
88455443,88455445,0.10431973458317667,0.0025665946724262056,0.010121457489878543,0.5,highway.residential,7.163426925845932,99.5,2,13.89
88455443,88464547,0.106479601874765,0.003849892008639308,0.015182186234817813,0.5,highway.residential,2.0986321094312452,29.15,2,13.89
88455439,88530455,0.1,0.0,0.0,0.5,highway.residential,32.11375089992801,453.68,2,13.89
88455445,88455448,0.10215986729158834,0.0012832973362131028,0.005060728744939271,0.5,highway.residential,5.658027357811375,79.37,2,13.89
88455445,88527944,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,2.2814974802015837,31.69,2,13.89
88455448,88455449,0.1,0.0,0.0,0.5,highway.residential,4.508279337652987,62.62,2,13.89
88455448,88530455,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,8.84161267098632,123.0,2,13.89
88455449,88455455,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,5.396688264938804,77.18,2,13.89
88455449,88464543,0.1032398009373825,0.001924946004319654,0.0075910931174089065,0.5,highway.residential,2.7055435565154786,37.58,2,13.89
88455449,88505031,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,8.45572354211663,117.45,2,13.89
88455621,88455611,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,7.927285817134629,110.11,2,13.89
88455611,88486047,0.20431973458317668,0.0025665946724262056,0.010121457489878543,1.0,highway.residential,6.520518358531317,93.21,2,13.89
88455611,88486060,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,7.841612670986321,108.92,2,13.89
88455611,88503536,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,4.005039596832254,55.63,2,13.89
88456105,88456102,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,5.264938804895608,73.42,2,13.89
88456102,88505964,0.10215986729158834,0.0012832973362131028,0.005060728744939271,0.5,highway.residential,11.851691864650828,164.62,2,13.89
88456102,88491818,0.1,0.0,0.0,0.5,highway.residential,14.569474442044637,202.37,2,13.89
88456131,88456121,0.1,0.0,0.0,0.5,highway.residential,36.32829373650108,504.6,2,13.89
88456131,88478436,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.87832973362131,53.87,2,13.89
88456131,88478438,0.10215986729158834,0.0012832973362131028,0.005060728744939271,0.5,highway.residential,4.42548596112311,61.47,2,13.89
88456121,88481764,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,1.9035277177825773,26.44,2,13.89
88456121,88483084,0.106479601874765,0.003849892008639308,0.015182186234817813,0.5,highway.residential,9.168466522678186,127.35,2,13.89
88456121,88501301,0.20431973458317668,0.0025665946724262056,0.010121457489878543,1.0,highway.residential,6.648668106551475,92.35,2,13.89
88428281,88456267,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,3.2757379409647225,46.09,2,13.89
88428281,88428283,0.1,0.0,0.0,0.5,highway.residential,13.997120230381569,195.71,2,13.89
88428281,7504374905,0.10215986729158834,0.0012832973362131028,0.005060728744939271,0.5,highway.residential,3.1331893448524117,44.07,2,13.89
88456267,88460653,0.1,0.0,0.0,0.5,highway.residential,11.384449244060475,161.97,2,13.89
88456307,88456302,0.2,0.0,0.0,1.0,highway.residential,14.8869690424766,209.23,2,13.89
88456302,88500727,0.1,0.0,0.0,0.5,highway.residential,4.920086393088553,68.34,2,13.89
88456302,88500749,0.1,0.0,0.0,0.5,highway.residential,47.556515478761696,660.56,2,13.89
88456326,88456316,0.2,0.0,0.0,1.0,highway.residential,19.769618430525558,274.6,2,13.89
88456326,88500721,0.1,0.0,0.0,0.5,highway.residential,77.82937365010798,1081.05,2,13.89
88456326,88500775,0.1,0.0,0.0,0.5,highway.residential,11.706263498920086,162.6,2,13.89
88456755,88456752,0.10215986729158834,0.0012832973362131028,0.005060728744939271,0.5,highway.residential,0.7645788336933045,10.62,2,13.89
88456755,88456757,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,2.964722822174226,41.18,2,13.89
88456755,cluster_2375198884_88472079,0.1,0.0,0.0,0.5,highway.residential,3.8286537077033835,53.18,1,13.89
88456755,88516426,0.1,0.0,0.0,0.5,highway.residential,6.135349172066235,85.22,1,13.89
88456752,88490941,0.11015768778983512,0.005133189344852411,0.025303643724696356,0.5,highway.residential,5.728581713462923,79.57,1,13.89
